"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 03 12:39:09 UTC 2025","Thu Jul 03 12:39:09 UTC 2025","0","tests.integration","test_basic_xradio","TestBasicXradio","","","test_simple_string",""
"passed","Thu Jul 03 12:39:09 UTC 2025","Thu Jul 03 12:39:09 UTC 2025","0","tests.integration","test_basic_xradio","TestBasicXradio","","","test_simple",""
"passed","Thu Jul 03 12:39:09 UTC 2025","Thu Jul 03 12:39:09 UTC 2025","2","tests.integration","test_basic_xradio","TestBasicXradio","","","test_invalid_sel",""
