"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 14:37:47 UTC 2025","Tue Jul 08 14:37:47 UTC 2025","0","tests","test_client","TestToolViperClient","","","test_client_dask_dir","
        Run astrohack_local_client with N cores and with a memory_limit of M GB to create an instance of the
        astrohack Dask client. Check that temporary files are written to dask_local_dir.
        "
"passed","Tue Jul 08 14:37:47 UTC 2025","Tue Jul 08 14:37:47 UTC 2025","0","tests","test_client","TestToolViperClient","","","test__set_up_dask",""
"passed","Tue Jul 08 14:37:45 UTC 2025","Tue Jul 08 14:37:46 UTC 2025","1219","tests","test_client","TestToolViperClient","","","test_cluster_get","
        Test the get_client() function.
        "
"passed","Tue Jul 08 14:37:47 UTC 2025","Tue Jul 08 14:37:49 UTC 2025","1227","tests","test_menerva","TestToolViperMenerva","","","test_thread_info",""
"passed","Tue Jul 08 14:37:47 UTC 2025","Tue Jul 08 14:37:47 UTC 2025","1","tests","test_client","TestToolViperClient","","","test_load_libraries",""
"passed","Tue Jul 08 14:37:47 UTC 2025","Tue Jul 08 14:37:47 UTC 2025","0","tests","test_client","TestToolViperClient","","","test_client_logger","
        Run astrohack_local_client with N cores and with a memory_limit of M GB without any errors and the messages
        will be logged in the terminal.
        "
"passed","Tue Jul 08 14:37:46 UTC 2025","Tue Jul 08 14:37:47 UTC 2025","1225","tests","test_client","TestToolViperClient","","","test_client_thread_info","
        Test that thread_info() function returns the values that were set in the client instantiation.
        "
"passed","Tue Jul 08 14:37:42 UTC 2025","Tue Jul 08 14:37:44 UTC 2025","1810","tests","test_client","TestToolViperClient","","","test_client_spawn","
        Run astrohack_local_client with N cores and with a memory_limit of M GB to create an instance of the
        astrohack Dask client.
        "
"passed","Tue Jul 08 14:37:44 UTC 2025","Tue Jul 08 14:37:45 UTC 2025","1289","tests","test_client","TestToolViperClient","","","test_client_get","
        Test the get_client() function.
        "
