"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_time_coord","tests.integration","Thu Jul 03 15:48:59 GMT 2025","passed","Thu Jul 03 15:48:59 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","1","test_check_dict_constructor_defaults","tests.integration","Thu Jul 03 15:49:00 GMT 2025","passed","Thu Jul 03 15:49:00 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_dtype_mismatch_expect","tests.integration","Thu Jul 03 15:49:00 GMT 2025","passed","Thu Jul 03 15:49:00 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_constructor_auto_coords","tests.integration","Thu Jul 03 15:49:00 GMT 2025","passed","Thu Jul 03 15:49:00 GMT 2025","","test_copy_schema","",""
"","2","test_u_v_coord","tests.integration","Thu Jul 03 15:48:59 GMT 2025","passed","Thu Jul 03 15:48:59 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"","2019","test_output_uv_zarr_image","tests.integration","Thu Jul 03 15:48:52 GMT 2025","passed","Thu Jul 03 15:48:54 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test xds level attributes","2","test_xds_attrs","tests.integration","Thu Jul 03 15:48:54 GMT 2025","passed","Thu Jul 03 15:48:54 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test xds has correct time axis values","1","test_xds_time_vals","tests.integration","Thu Jul 03 15:48:54 GMT 2025","passed","Thu Jul 03 15:48:54 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","248","test_beam","tests.integration","Thu Jul 03 15:48:51 GMT 2025","passed","Thu Jul 03 15:48:51 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","1","test_polarization_coord","tests.integration","Thu Jul 03 15:48:59 GMT 2025","passed","Thu Jul 03 15:48:59 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"Test xds has correct pixel values","478","test_xds_pixel_values","tests.integration","Thu Jul 03 15:48:58 GMT 2025","passed","Thu Jul 03 15:48:59 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","3154","test_uv_image","tests.integration","Thu Jul 03 15:48:34 GMT 2025","passed","Thu Jul 03 15:48:37 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","2","test_check_dataset_extra_datavar","tests.integration","Thu Jul 03 15:49:00 GMT 2025","passed","Thu Jul 03 15:49:00 GMT 2025","","test_copy_schema","",""
"","1","test_vel_coord","tests.integration","Thu Jul 03 15:48:59 GMT 2025","passed","Thu Jul 03 15:48:59 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
