"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_chunksize[input_chunksize0-main-None-expected_chunksize0-expected_error0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","960","test_convert_and_write_partition_custom[ms_custom_spec0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","2","test_l_m_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_lmuv_image_tests","test_image","",""
"","1","test_declination_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"","0","test_estimate_memory_and_cores_for_partitions[test_ms_minimal_required.ms-partitions0-expected_estimate0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","1","test_vel_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"","36","test_create_field_and_source_xds_misbehaved","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_create_field_and_source_xds","",""
"","2311","test_output_uv_zarr_image","tests.unit.image","Tue Jul 08 19:15:05 GMT 2025","passed","Tue Jul 08 19:15:07 GMT 2025","xds_to_zarr_to_xds_test","test_image","",""
"Test pixel values are consistent","7","test_pixels_and_mask","tests.unit.image","Tue Jul 08 19:15:03 GMT 2025","passed","Tue Jul 08 19:15:03 GMT 2025","casacore_to_xds_to_casacore","test_image","",""
"","1","test_check_array_wrong_coord","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","0","test_table_has_column_raises[ms_tab_nonexistent-ANY-expected_raises1]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","0","test_dims_and_coords","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"","1","test_attrs","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"Test xds has correct frequencyuency values and metadata","1","test_xds_frequency_axis","tests.unit.image","Tue Jul 08 19:15:07 GMT 2025","passed","Tue Jul 08 19:15:07 GMT 2025","xds_to_zarr_to_xds_test","test_image","",""
"","1","test_check_array_dtype_mismatch","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"Test that time interpolation works correctly for ephemeris data","1308","test_time_interpolation[ALMA_uid___A002_X1003af4_X75a3.split.avg.ms]","tests.unit.measurement_set","Tue Jul 08 19:17:32 GMT 2025","passed","Tue Jul 08 19:17:33 GMT 2025","TestProcessingSetXdtWithEphemerisData","test_processing_set_xdt","",""
"Test xds has correct stokes values","1","test_xds_polarization_axis","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","fits_to_xds_test","test_image","",""
"
            Verify fix to issue 45
            https://github.com/casangi/xradio/issues/45
        irint(""*** r"", r)
        ","3708","test_beam","tests.unit.image","Tue Jul 08 19:14:54 GMT 2025","passed","Tue Jul 08 19:14:57 GMT 2025","casacore_to_xds_to_casacore","test_image","",""
"","2","test_check_array_constructor_from_dataarray_override","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1","test_u_v_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_lmuv_image_tests","test_image","",""
"Test that get_combined_field_and_source_xds raises an exception on empty DataTree","0","test_get_combined_field_and_source_xds_empty","tests.unit.measurement_set","Tue Jul 08 19:16:00 GMT 2025","passed","Tue Jul 08 19:16:00 GMT 2025","TestProcessingSetXdtErrors","test_processing_set_xdt","",""
"","2","test_check_array_constructor_list","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","2","test_load_generic_cols_spw","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read","",""
"","7","test_create_system_calibration_xds_empty","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
