"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_basic_xradio","TestBasicXradio","","","test_simple",""
"passed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_basic_xradio","TestBasicXradio","","","test_invalid_sel",""
"failed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_flaky","","","","test_random_failure",""
"passed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_flaky","","","","test_random_segfault","Random Seg Fault triggered (0.1% chance)"
"passed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_basic_xradio","TestBasicXradio","","","test_simple_string",""
"passed","Thu Jan 22 15:44:17 UTC 2026","Thu Jan 22 15:44:17 UTC 2026","0","tests.integration","test_flaky","","","","test_skipped_feature",""
