"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_sel","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_measurement_set_xdt","",""
"","1","test_schema_checked_no_annotation","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_schema_checked_annotation_optional","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds has correct l and m values and attributes","1","test_xds_l_m_axis","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Test xds has correct RA and Dec values and attributes","8","test_xds_ra_dec_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","1","test_check_array_wrong_coord","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_dataset_wrong_dim","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"
        issue 48, proper nan masking when writing CASA images
        https://github.com/casangi/xradio/issues/48
        ","3401","test_masking","tests.integration","Thu Jul 03 15:08:14 GMT 2025","passed","Thu Jul 03 15:08:18 GMT 2025","casacore_to_xds_to_casacore","test_copy_image","",""
"","1","test_right_ascension_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"","1","test_check_array_constructor_array_style","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test to verify metadata in two casacore images is the same","19","test_metadata","tests.integration","Thu Jul 03 15:08:18 GMT 2025","passed","Thu Jul 03 15:08:18 GMT 2025","casacore_to_xds_to_casacore","test_copy_image","",""
"Test xds level attributes","2","test_xds_attrs","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","0","test_attrs","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"","0","test_check_dict_optional","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","396","test_get_img_ds_block","tests.integration","Thu Jul 03 15:08:20 GMT 2025","passed","Thu Jul 03 15:08:20 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","2","test_u_v_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"","0","test_check_dict","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1340","test_output_uv_casa_image","tests.integration","Thu Jul 03 15:08:18 GMT 2025","passed","Thu Jul 03 15:08:19 GMT 2025","casacore_to_xds_to_casacore","test_copy_image","",""
"","0","test_check_dict_typ","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_check_array_constructor_dataclass_style","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_check_dataset","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_check_dataset_dtype_mismatch","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"
        Test reading FITS files with bscale != 1 fails
        ","13","test_bscale_guard","tests.integration","Thu Jul 03 15:08:23 GMT 2025","passed","Thu Jul 03 15:08:23 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","1","test_declination_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","2823","test_uv_image","tests.integration","Thu Jul 03 15:08:07 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","2","test_check_array_constructor_list","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"
        Test writing an xds which has a numpy array as the
        sky data var to a casa image.
        ","241","test_writing_numpy_array_as_data_var","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:11 GMT 2025","xds_to_casacore","test_copy_image","",""
"Test xds has correct pixel values","354","test_xds_pixel_values","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Ensure that extracting the model from the dataclass is consistent","0","test_xarray_dataclass_to_dict_schema","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_time_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"Test xds has correct velocity values and metadata","1","test_xds_vel_axis","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","2","test_check_dataset_wrong_dim_order","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test values and attributes on the time axis","1","test_xds_time_axis","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","1","test_dims","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","2","test_frequency_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"Test pixel values are consistent","8","test_pixels_and_mask","tests.integration","Thu Jul 03 15:08:19 GMT 2025","passed","Thu Jul 03 15:08:19 GMT 2025","casacore_to_xds_to_casacore","test_copy_image","",""
"","0","test_check_array_missing_coord","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_check_array","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","29","test_check_dict_dataset_attribute","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","0","test_time_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","1","test_simple_string","tests.integration","Thu Jul 03 15:07:59 GMT 2025","passed","Thu Jul 03 15:07:59 GMT 2025","TestBasicXradio","test_basic_xradio","",""
"
        Test reading compressed FITS files fails because not supported by memmapping
        ","239","test_compressed_fits_guard","tests.integration","Thu Jul 03 15:08:23 GMT 2025","passed","Thu Jul 03 15:08:23 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","0","test_schema_checked_wrap","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_extra_attr","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_constructor_from_dataarray","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","0","test_simple","tests.integration","Thu Jul 03 15:07:59 GMT 2025","passed","Thu Jul 03 15:07:59 GMT 2025","TestBasicXradio","test_basic_xradio","",""
"","1","test_vel_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","2840","test_multibeam","tests.integration","Thu Jul 03 15:08:23 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Test xds has correct velocity values and metadata","1","test_xds_vel_axis","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test xds has correct RA and Dec values and attributes","1","test_xds_ra_dec_axis","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","0","test_check_array_missing_attr","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_vel_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"Test xds has correct velocity values and metadata","3","test_xds_vel_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"Test xds has correct pixel values","184","test_xds_pixel_values","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","1497","test_output_uv_zarr_image","tests.integration","Thu Jul 03 15:08:20 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test that we can pass named parameters to the constructor","13","test_check_dataset_constructor_dataclass_style","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","0","test_attrs","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","0","test_check_dict_constructor_defaults","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
