"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_simple_string","tests.integration","Tue Jul 08 18:46:04 GMT 2025","passed","Tue Jul 08 18:46:04 GMT 2025","TestBasicXradio","test_basic_xradio","",""
"","2","test_invalid_sel","tests.integration","Tue Jul 08 18:46:04 GMT 2025","passed","Tue Jul 08 18:46:04 GMT 2025","TestBasicXradio","test_basic_xradio","",""
"","1","test_simple","tests.integration","Tue Jul 08 18:46:04 GMT 2025","passed","Tue Jul 08 18:46:04 GMT 2025","TestBasicXradio","test_basic_xradio","",""
